age_upon_outcome,animal_id_outcome,date_of_birth,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_(years),age_upon_outcome_age_group,outcome_datetime,outcome_month,outcome_year,outcome_monthyear,outcome_weekday,outcome_hour,outcome_number,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),age_upon_intake_age_group,intake_datetime,intake_month,intake_year,intake_monthyear,intake_weekday,intake_hour,intake_number,time_in_shelter,time_in_shelter_days
12 years,A228887,2001-04-27 0:00,,Return to Owner,Spayed Female,4380,12,"(10.0, 12.5]",2013-11-09 17:42,11,2013,Nov-13,Saturday,17,1,2001,4,Nov-13,12 years,A228887,Dog,Catahoula/Labrador Retriever,Blue Merle/Tan,Lincolnshire in Austin (TX),Normal,Stray,Spayed Female,1,4380,12,"(10.0, 12.5]",2013-11-09 17:00,11,2013,Nov-13,Saturday,17,1,0 days 00:42:00.000000000,0.029166667
13 years,A230482,2001-03-20 0:00,Suffering,Euthanasia,Intact Male,4745,13,"(12.5, 15.0]",2015-03-13 17:01,3,2015,Mar-15,Friday,17,1,2001,3,Mar-15,13 years,A230482,Dog,Queensland Heeler,Blue Merle,Austin (TX),Aged,Euthanasia Request,Intact Male,1,4745,13,"(12.5, 15.0]",2015-03-13 15:20,3,2015,Mar-15,Friday,15,1,0 days 01:41:00.000000000,0.070138889
13 years,A233812,2001-06-08 0:00,,Return to Owner,Neutered Male,4745,13,"(12.5, 15.0]",2014-09-06 18:52,9,2014,Sep-14,Saturday,18,1,2001,6,Sep-14,13 years,A233812,Dog,Rottweiler/Chow Chow,Brown/Black,12317 Wycliff Ln in Austin (TX),Aged,Stray,Neutered Male,1,4745,13,"(12.5, 15.0]",2014-09-06 14:37,9,2014,Sep-14,Saturday,14,1,0 days 04:15:00.000000000,0.177083333
12 years,A234161,2001-03-26 0:00,,Return to Owner,Neutered Male,4380,12,"(10.0, 12.5]",2013-12-27 17:02,12,2013,Dec-13,Friday,17,1,2001,3,Dec-13,12 years,A234161,Cat,Domestic Shorthair Mix,Black/White,1401 E Rundberg Ln in Austin (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2013-12-27 12:13,12,2013,Dec-13,Friday,12,1,0 days 04:49:00.000000000,0.200694444
13 years,A236259,2001-07-10 0:00,,Return to Owner,Neutered Male,4745,13,"(12.5, 15.0]",2014-07-09 12:00,7,2014,Jul-14,Wednesday,12,1,2001,7,Jul-14,12 years,A236259,Dog,Smooth Fox Terrier Mix,Black/Tricolor,Westgate & Cameron Loop in Austin (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2014-07-05 7:13,7,2014,Jul-14,Saturday,7,1,4 days 04:47:00.000000000,4.199305556
15 years,A238870,2001-05-24 0:00,Partner,Transfer,Neutered Male,5475,15,"(12.5, 15.0]",2016-06-17 12:37,6,2016,Jun-16,Friday,12,1,2001,5,Jun-16,15 years,A238870,Dog,Rat Terrier Mix,Gray/White,8411 Ganttcrest Dr in Austin (TX),Normal,Stray,Neutered Male,1,5475,15,"(12.5, 15.0]",2016-06-09 16:22,6,2016,Jun-16,Thursday,16,1,7 days 20:15:00.000000000,7.84375
13 years,A243903,2000-07-12 0:00,,Return to Owner,Neutered Male,4745,13,"(12.5, 15.0]",2014-01-05 11:45,1,2014,Jan-14,Sunday,11,1,2000,7,Jan-14,13 years,A243903,Cat,Domestic Shorthair,Black/Black,50Th And Martin in Austin (TX),Sick,Stray,Neutered Male,1,4745,13,"(12.5, 15.0]",2013-12-31 16:26,12,2013,Dec-13,Tuesday,16,1,4 days 19:19:00.000000000,4.804861111
15 years,A245945,2000-05-23 0:00,Partner,Transfer,Neutered Male,5475,15,"(12.5, 15.0]",2015-05-25 11:49,5,2015,May-15,Monday,11,1,2000,5,May-15,15 years,A245945,Dog,Labrador Retriever Mix,Tan,7403 Blessing Ave in Austin (TX),Normal,Stray,Neutered Male,1,5475,15,"(12.5, 15.0]",2015-05-20 22:34,5,2015,May-15,Wednesday,22,1,4 days 13:15:00.000000000,4.552083333
14 years,A245945,2000-05-23 0:00,,Return to Owner,Neutered Male,5110,14,"(12.5, 15.0]",2014-07-04 15:26,7,2014,Jul-14,Friday,15,2,2000,5,Jul-14,14 years,A245945,Dog,Labrador Retriever Mix,Tan,Garden And Mildred in Austin (TX),Normal,Stray,Neutered Male,1,5110,14,"(12.5, 15.0]",2014-07-03 17:55,7,2014,Jul-14,Thursday,17,2,0 days 21:31:00.000000000,0.896527778
15 years,A249087,2001-01-02 0:00,Foster,Adoption,Spayed Female,5475,15,"(12.5, 15.0]",2016-11-15 10:37,11,2016,Nov-16,Tuesday,10,1,2001,1,Nov-16,15 years,A249087,Dog,German Shepherd Mix,Black/Brown,E 6Th St And Pedernales in Austin (TX),Normal,Stray,Spayed Female,1,5475,15,"(12.5, 15.0]",2016-08-17 14:05,8,2016,Aug-16,Wednesday,14,1,89 days 20:32:00.000000000,89.85555556
14 years,A251095,2001-12-03 0:00,Medical,Euthanasia,Spayed Female,5110,14,"(12.5, 15.0]",2016-03-02 13:16,3,2016,Mar-16,Wednesday,13,1,2001,12,Mar-16,14 years,A251095,Dog,Border Collie,Tricolor,Travis (TX),Aged,Euthanasia Request,Spayed Female,1,5110,14,"(12.5, 15.0]",2016-03-02 11:55,3,2016,Mar-16,Wednesday,11,1,0 days 01:21:00.000000000,0.05625
12 years,A251214,2001-10-27 0:00,,Return to Owner,Neutered Male,4380,12,"(10.0, 12.5]",2014-09-04 16:12,9,2014,Sep-14,Thursday,16,1,2001,10,Sep-14,12 years,A251214,Dog,German Shepherd Mix,Cream,St Edwards Dr & Sherwood Ln in Austin (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2014-09-04 15:16,9,2014,Sep-14,Thursday,15,1,0 days 00:56:00.000000000,0.038888889
17 years,A251268,2000-11-28 0:00,,Return to Owner,Neutered Male,6205,17,"(15.0, 17.5]",2018-01-29 16:07,1,2018,Jan-18,Monday,16,1,2000,11,Jan-18,17 years,A251268,Cat,Domestic Shorthair Mix,Black,10605 Berthound in Austin (TX),Normal,Stray,Neutered Male,1,6205,17,"(15.0, 17.5]",2018-01-27 15:06,1,2018,Jan-18,Saturday,15,1,2 days 01:01:00.000000000,2.042361111
18 years,A251402,1999-01-25 0:00,,Return to Owner,Spayed Female,6570,18,"(17.5, 20.0]",2017-10-23 11:32,10,2017,Oct-17,Monday,11,1,1999,1,Oct-17,18 years,A251402,Dog,Chihuahua Shorthair Mix,Tan,2905 French Place in Austin (TX),Normal,Stray,Spayed Female,1,6570,18,"(17.5, 20.0]",2017-10-22 18:41,10,2017,Oct-17,Sunday,18,1,0 days 16:51:00.000000000,0.702083333
12 years,A253939,2001-07-28 0:00,,Return to Owner,Spayed Female,4380,12,"(10.0, 12.5]",2014-01-13 15:54,1,2014,Jan-14,Monday,15,1,2001,7,Jan-14,12 years,A253939,Dog,Pit Bull/Catahoula,Red,1305 W Oltorf in Austin (TX),Normal,Stray,Spayed Female,1,4380,12,"(10.0, 12.5]",2014-01-13 14:16,1,2014,Jan-14,Monday,14,1,0 days 01:38:00.000000000,0.068055556
17 years,A254503,1997-05-07 0:00,Suffering,Euthanasia,Spayed Female,6205,17,"(15.0, 17.5]",2014-11-13 11:30,11,2014,Nov-14,Thursday,11,1,1997,5,Nov-14,17 years,A254503,Dog,Labrador Retriever Mix,Tan,8603 Fathom Cir in Austin (TX),Normal,Stray,Spayed Female,1,6205,17,"(15.0, 17.5]",2014-11-09 11:04,11,2014,Nov-14,Sunday,11,1,4 days 00:26:00.000000000,4.018055556
16 years,A256412,1997-03-11 0:00,,Return to Owner,Intact Male,5840,16,"(15.0, 17.5]",2013-10-06 14:26,10,2013,Oct-13,Sunday,14,1,1997,3,Oct-13,16 years,A256412,Dog,Labrador Retriever Mix,Yellow,1001 Pres Arriba Rd in Austin (TX),Injured,Stray,Intact Male,1,5840,16,"(15.0, 17.5]",2013-10-06 11:33,10,2013,Oct-13,Sunday,11,1,0 days 02:53:00.000000000,0.120138889
14 years,A258441,2000-10-08 0:00,Suffering,Euthanasia,Spayed Female,5110,14,"(12.5, 15.0]",2014-11-28 14:27,11,2014,Nov-14,Friday,14,1,2000,10,Nov-14,14 years,A258441,Cat,Domestic Shorthair Mix,Gray Tabby/White,Austin (TX),Sick,Euthanasia Request,Spayed Female,1,5110,14,"(12.5, 15.0]",2014-11-28 12:20,11,2014,Nov-14,Friday,12,1,0 days 02:07:00.000000000,0.088194444
14 years,A260631,2000-04-20 0:00,Partner,Transfer,Neutered Male,5110,14,"(12.5, 15.0]",2014-10-20 13:50,10,2014,Oct-14,Monday,13,1,2000,4,Oct-14,14 years,A260631,Cat,Domestic Longhair Mix,Black/White,600 Barwood Place in Austin (TX),Normal,Stray,Neutered Male,1,5110,14,"(12.5, 15.0]",2014-10-16 18:17,10,2014,Oct-14,Thursday,18,1,3 days 19:33:00.000000000,3.814583333
13 years,A260914,2002-02-22 0:00,,Return to Owner,Neutered Male,4745,13,"(12.5, 15.0]",2015-06-18 11:09,6,2015,Jun-15,Thursday,11,1,2002,2,Jun-15,13 years,A260914,Dog,Border Collie/Catahoula,Brown Merle,17800 Aleppo Pine Trl in Travis (TX),Normal,Stray,Neutered Male,1,4745,13,"(12.5, 15.0]",2015-06-17 13:56,6,2015,Jun-15,Wednesday,13,1,0 days 21:13:00.000000000,0.884027778
14 years,A261398,2002-01-01 0:00,,Return to Owner,Neutered Male,5110,14,"(12.5, 15.0]",2016-01-12 12:50,1,2016,Jan-16,Tuesday,12,1,2002,1,Jan-16,14 years,A261398,Dog,Bichon Frise Mix,White,3706 Steck Ave in Austin (TX),Normal,Public Assist,Neutered Male,1,5110,14,"(12.5, 15.0]",2016-01-11 16:31,1,2016,Jan-16,Monday,16,1,0 days 20:19:00.000000000,0.846527778
20 years,A261770,1994-11-07 0:00,Suffering,Euthanasia,Neutered Male,7300,20,"(17.5, 20.0]",2014-11-07 15:51,11,2014,Nov-14,Friday,15,1,1994,11,Nov-14,20 years,A261770,Cat,Domestic Shorthair Mix,White,Del Valle (TX),Normal,Euthanasia Request,Neutered Male,1,7300,20,"(17.5, 20.0]",2014-11-07 13:40,11,2014,Nov-14,Friday,13,1,0 days 02:11:00.000000000,0.090972222
12 years,A267174,2002-02-09 0:00,,Return to Owner,Neutered Male,4380,12,"(10.0, 12.5]",2014-03-19 11:39,3,2014,Mar-14,Wednesday,11,1,2002,2,Mar-14,12 years,A267174,Dog,Jack Russell Terrier Mix,White/Brown,Austin (TX),Normal,Public Assist,Neutered Male,1,4380,12,"(10.0, 12.5]",2014-03-12 18:12,3,2014,Mar-14,Wednesday,18,1,6 days 17:27:00.000000000,6.727083333
13 years,A268022,2002-04-06 0:00,Suffering,Euthanasia,Spayed Female,4745,13,"(12.5, 15.0]",2015-08-03 13:08,8,2015,Aug-15,Monday,13,1,2002,4,Aug-15,13 years,A268022,Dog,Labrador Retriever Mix,Tan,Outside Jurisdiction,Normal,Euthanasia Request,Spayed Female,1,4745,13,"(12.5, 15.0]",2015-08-03 12:03,8,2015,Aug-15,Monday,12,1,0 days 01:05:00.000000000,0.045138889
12 years,A271790,2002-02-13 0:00,Medical,Euthanasia,Neutered Male,4380,12,"(10.0, 12.5]",2014-09-21 16:23,9,2014,Sep-14,Sunday,16,1,2002,2,Sep-14,12 years,A271790,Dog,Harrier Mix,Tricolor,9112 Edmundsburg Dr in Austin (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2014-09-14 23:22,9,2014,Sep-14,Sunday,23,1,6 days 17:01:00.000000000,6.709027778
11 years,A274546,2002-05-25 0:00,,Adoption,Spayed Female,4015,11,"(10.0, 12.5]",2013-11-16 12:24,11,2013,Nov-13,Saturday,12,1,2002,5,Nov-13,11 years,A274546,Dog,Pointer Mix,Tricolor,Manchaca And Slaughter in Austin (TX),Normal,Stray,Spayed Female,1,4015,11,"(10.0, 12.5]",2013-11-13 18:16,11,2013,Nov-13,Wednesday,18,1,2 days 18:08:00.000000000,2.755555556
14 years,A276644,2002-06-01 0:00,Partner,Transfer,Spayed Female,5110,14,"(12.5, 15.0]",2017-01-02 11:03,1,2017,Jan-17,Monday,11,1,2002,6,Jan-17,14 years,A276644,Cat,Domestic Shorthair Mix,Tortie,Austin (TX),Sick,Owner Surrender,Spayed Female,1,5110,14,"(12.5, 15.0]",2016-12-27 14:51,12,2016,Dec-16,Tuesday,14,1,5 days 20:12:00.000000000,5.841666667
11 years,A276780,2002-05-27 0:00,,Return to Owner,Neutered Male,4015,11,"(10.0, 12.5]",2013-11-22 15:56,11,2013,Nov-13,Friday,15,1,2002,5,Nov-13,11 years,A276780,Dog,Border Collie/Chow Chow,Black,4434 Frontier Trl in Austin (TX),Normal,Stray,Neutered Male,1,4015,11,"(10.0, 12.5]",2013-11-22 7:50,11,2013,Nov-13,Friday,7,1,0 days 08:06:00.000000000,0.3375
14 years,A279045,2000-09-17 0:00,,Return to Owner,Spayed Female,5110,14,"(12.5, 15.0]",2015-02-13 11:15,2,2015,Feb-15,Friday,11,1,2000,9,Feb-15,14 years,A279045,Cat,Domestic Shorthair Mix,White/Gray Tabby,Austin (TX),Normal,Public Assist,Spayed Female,1,5110,14,"(12.5, 15.0]",2015-02-02 16:30,2,2015,Feb-15,Monday,16,1,10 days 18:45:00.000000000,10.78125
12 years,A279920,2002-07-23 0:00,Behavior,Euthanasia,Neutered Male,4380,12,"(10.0, 12.5]",2014-09-05 14:31,9,2014,Sep-14,Friday,14,1,2002,7,Sep-14,12 years,A279920,Dog,American Eskimo Mix,Cream,7201 Levander Loop in Austin (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2014-08-27 13:11,8,2014,Aug-14,Wednesday,13,1,9 days 01:20:00.000000000,9.055555556
12 years,A281542,2001-09-25 0:00,Foster,Adoption,Neutered Male,4380,12,"(10.0, 12.5]",2014-05-19 12:32,5,2014,May-14,Monday,12,1,2001,9,May-14,12 years,A281542,Dog,Labrador Retriever Mix,Black/Brown Brindle,Austin (TX),Normal,Owner Surrender,Neutered Male,1,4380,12,"(10.0, 12.5]",2013-12-23 13:23,12,2013,Dec-13,Monday,13,1,146 days 23:09:00.000000000,146.9645833
13 years,A282897,2001-10-08 0:00,,Adoption,Neutered Male,4745,13,"(12.5, 15.0]",2015-07-11 16:49,7,2015,Jul-15,Saturday,16,1,2001,10,Jul-15,13 years,A282897,Cat,Domestic Shorthair Mix,Black Smoke/White,Austin (TX),Normal,Owner Surrender,Neutered Male,1,4745,13,"(12.5, 15.0]",2015-07-06 15:06,7,2015,Jul-15,Monday,15,1,5 days 01:43:00.000000000,5.071527778
12 years,A282897,2001-10-08 0:00,,Adoption,Neutered Male,4380,12,"(10.0, 12.5]",2013-12-28 17:05,12,2013,Dec-13,Saturday,17,2,2001,10,Dec-13,12 years,A282897,Cat,Domestic Shorthair Mix,Black Smoke/White,183 And Great Hills Trail in Travis (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2013-11-21 13:45,11,2013,Nov-13,Thursday,13,2,37 days 03:20:00.000000000,37.13888889
13 years,A283735,2001-10-15 0:00,Suffering,Euthanasia,Spayed Female,4745,13,"(12.5, 15.0]",2015-01-22 19:17,1,2015,Jan-15,Thursday,19,1,2001,10,Jan-15,13 years,A283735,Dog,Doberman Pinsch Mix,Brown/Tan,Travis (TX),Sick,Owner Surrender,Spayed Female,1,4745,13,"(12.5, 15.0]",2015-01-22 12:06,1,2015,Jan-15,Thursday,12,1,0 days 07:11:00.000000000,0.299305556
11 years,A284639,2002-04-23 0:00,,Return to Owner,Neutered Male,4015,11,"(10.0, 12.5]",2014-01-28 13:17,1,2014,Jan-14,Tuesday,13,1,2002,4,Jan-14,11 years,A284639,Dog,German Shepherd Mix,Tan,Webberville Rd in Austin (TX),Normal,Stray,Neutered Male,1,4015,11,"(10.0, 12.5]",2014-01-27 13:05,1,2014,Jan-14,Monday,13,1,1 days 00:12:00.000000000,1.008333333
17 years,A285685,2000-04-03 0:00,,Return to Owner,Neutered Male,6205,17,"(15.0, 17.5]",2017-04-13 11:56,4,2017,Apr-17,Thursday,11,1,2000,4,Apr-17,17 years,A285685,Dog,Parson Russell Terrier Mix,White/Black,1704 Nelms Dr #1925 in Austin (TX),Normal,Stray,Neutered Male,1,6205,17,"(15.0, 17.5]",2017-04-12 16:04,4,2017,Apr-17,Wednesday,16,1,0 days 19:52:00.000000000,0.827777778
